YEAR,All Items Index,Annual Percent Change
1980,45.4,9.4
1981,51.8,14.1
1982,57.3,10.6
1983,60.4,5.4
1984,62.8,4
1985,64.8,3.2
1986,66.7,2.9
1987,68.7,3
1988,71.2,3.6
1989,74.4,4.5
1990,78.4,5.4
1991,82.6,5.4
1992,84.8,2.7
1993,87.8,3.5
1994,89.5,1.9
1995,91.6,2.3
1996,92.4,0.9
1997,93.1,0.8
1998,93.4,0.3
1999,94.4,1.1
2000,96.1,1.8
2001,97.7,1.7
2002,100,2.4
2003,102.2,2.2
2004,104.2,2
2005,106.3,2
2006,108.1,1.7
2007,110,1.8
2008,112.3,2.1
2009,112.3,0
2010,113.8,1.3
2011,116.5,2.4
2012,117.8,1.1
2013,117.7,-0.1
2014,118.9,1
2015,120.2,1.1
2016,122.4,1.8
2017,125,2.1
2018,128.4,2.7
2019,131.4,2.3
2020,132.4,0.8
2021,136.1,2.8
2022,145.5,6.9
2023,151.2,3.9
2024,155.2,2.6
