YEAR,"Total, all education levels",0 to 8  years 8,Some high school 9,High school graduate 10,Some postsecondary 11,Postsecondary certificate or diploma 12,University degree 13,Bachelor's degree,Above bachelor's degree
1990.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9
1991.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7
1992.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9
1993.0,8.9,15.1,14.2,8.3,9.1,8.5,5.2,5.4,4.9
1994.0,8.0,14.5,13.5,8.0,8.7,7.2,4.8,5.1,4.3
1995.0,7.4,16.8,11.5,6.9,8.1,6.7,4.9,5.3,4.2
1996.0,7.6,16.4,12.5,7.9,7.4,6.9,5.0,5.1,4.8
1997.0,7.2,19.4,13.5,6.9,7.2,5.9,4.8,5.1,4.0
1998.0,7.3,15.3,13.5,7.3,7.9,6.3,4.8,4.9,4.5
1999.0,7.1,16.4,12.0,8.0,7.2,6.0,4.8,5.3,3.8
2000.0,5.9,15.3,10.7,6.2,7.0,4.9,3.9,4.4,2.9
2001.0,6.6,11.1,11.6,6.5,7.3,6.0,4.8,5.1,4.2
2002.0,7.3,13.3,12.4,7.3,8.0,6.3,5.9,6.4,5.0
2003.0,6.8,15.2,10.4,6.9,8.5,5.7,5.6,6.5,3.8
2004.0,6.0,9.4,9.3,6.3,6.7,5.4,4.9,5.2,4.3
2005.0,5.0,11.0,8.0,4.7,6.7,4.5,4.1,4.1,4.3
2006.0,4.2,8.4,5.9,4.2,4.7,3.9,3.5,3.4,3.7
2007.0,3.7,9.9,6.2,3.7,4.4,3.2,3.0,3.0,3.0
2008.0,4.0,7.4,6.2,3.9,4.9,3.7,3.5,3.6,3.6
2009.0,6.7,13.8,12.1,7.3,7.8,6.4,4.8,4.9,4.5
2010.0,6.8,14.0,12.1,7.4,7.0,6.1,5.5,5.8,5.0
2011.0,6.5,17.2,11.6,6.8,7.8,6.2,4.9,5.4,4.1
2012.0,5.8,10.6,9.0,6.5,5.8,5.4,5.2,5.3,4.9
2013.0,5.6,10.4,9.2,6.0,6.4,5.4,4.8,5.1,4.1
2014.0,5.4,13.0,9.5,5.4,7.5,4.7,4.7,4.8,4.6
2015.0,5.3,12.0,10.2,5.1,5.5,5.3,4.6,4.8,4.3
2016.0,5.4,12.3,10.0,5.4,7.3,5.0,4.7,4.5,5.2
2017.0,4.7,9.7,7.7,5.0,5.8,5.0,3.6,3.6,3.6
2018.0,4.2,9.7,7.7,4.2,5.3,4.2,3.3,2.9,4.2
2019.0,4.1,6.7,7.2,5.0,4.3,3.7,3.5,3.3,3.9
2020.0,7.6,13.1,11.9,9.5,9.2,7.5,6.1,6.6,5.0
2021.0,5.7,9.1,9.0,6.5,9.1,5.9,4.4,4.6,3.9
2022,4,x,7.6,4.3,4.7,3.6,3.7,4.1,3.1
2023.0,4.5,11.5,7.5,4.5,4.9,4.2,4.3,4.5,4.1
2024.0,4.7,10.0,7.5,5.2,5.9,4.3,4.3,4.5,4.0
